price,square_meters,rooms,floor,is_ground,date,latitude,longitude,price_per_sqm,new_building,is_kottage,has_yard
285000,42.0,3.0,2.0,0,3,31.2700751,34.7961349,6785.714285714285,0,0,0
1150000,68.0,3.0,1.0,0,3,31.25181,34.7913,16911.764705882353,0,0,0
1540000,97.98,4.0,3.0,0,3,31.2876823,34.8056597,15717.49336599306,1,0,0
1610000,111.0,4.0,4.0,0,3,18.7544594,100.624804,14504.504504504504,1,0,0
900000,42.0,3.0,2.0,0,3,18.7544594,100.624804,21428.571428571428,0,0,0
1550000,113.0,4.0,20.0,0,3,31.2482069,34.7981086,13716.814159292035,1,0,0
145000,50.0,3.0,2.0,0,3,31.25181,34.7913,2900.0,0,0,0
1796000,128.0,5.0,8.0,0,3,18.7544594,100.624804,14031.25,0,0,0
600000,70.0,3.0,,0,3,31.25181,34.7913,8571.42857142857,0,0,0
835000,50.6,3.0,2.0,0,3,31.25181,34.7913,16501.97628458498,0,0,0
329000,36.3,2.0,2.0,0,3,31.2623898,34.7896034,9063.3608815427,0,0,0
785000,71.0,3.0,3.0,0,3,31.2636206,34.7875812,11056.338028169013,0,0,0
690000,46.4,3.0,2.0,0,3,31.2596175,34.8089907,14870.689655172415,0,0,0
2830000,163.0,5.0,11.0,0,3,18.7544594,100.624804,17361.963190184048,1,0,0
1810000,124.0,5.0,4.0,0,3,18.7544594,100.624804,14596.774193548386,1,0,0
1220000,150.0,4.5,13.0,0,3,31.2460169,34.7758696,8133.333333333333,1,0,0
1300000,80.0,3.0,15.0,0,3,18.7544594,100.624804,16250.0,1,0,0
560000,61.2,3.0,4.0,0,3,31.2558175,34.7758017,9150.32679738562,0,0,0
1535000,94.0,4.0,4.0,0,3,31.2350162,34.774158,16329.787234042553,1,0,0
1360000,89.0,4.0,5.0,0,3,30.9842593,34.9125901,15280.898876404495,1,0,0
910000,64.0,3.0,5.0,0,4,31.2558287,34.8043126,14218.75,0,0,0
1555000,98.0,5.0,7.0,0,4,30.9842593,34.9125901,15867.34693877551,1,0,0
965000,74.5,3.0,6.0,0,4,31.2358673,34.76625,12953.020134228187,1,0,0
1200000,79.0,4.0,1.0,0,4,31.2669692,34.783723,15189.87341772152,1,0,0
1275000,97.0,4.0,2.0,0,4,31.2840807,34.8039436,13144.329896907217,1,0,0
2700000,160.23,6.0,0.0,1,4,31.2323369,34.761084,16850.77700805093,1,1,0
2680000,183.0,6.0,1.0,0,4,31.2682422,34.7803988,14644.808743169398,1,1,0
1610000,117.0,4.0,1.0,0,4,18.7544594,100.624804,13760.68376068376,1,0,0
1830000,124.0,5.0,3.0,0,4,18.7544594,100.624804,14758.064516129032,1,0,0
1620000,107.0,4.0,8.0,0,4,18.7544594,100.624804,15140.18691588785,1,0,0
540000,55.0,2.0,6.0,0,4,31.2509003,34.8028321,9818.181818181818,1,0,0
905000,67.2,3.0,3.0,0,4,31.2576222,34.8117624,13467.261904761905,0,0,0
820000,63.5,3.0,2.0,0,4,31.2674526,34.7971363,12913.385826771653,0,0,0
760000,51.7,3.0,4.0,0,4,31.25181,34.7913,14700.193423597679,0,0,0
600000,67.4,3.0,1.0,0,4,31.2570818,34.7741899,8902.07715133531,0,0,0
340000,64.6,3.0,1.0,0,4,31.2616134,34.7691866,5263.1578947368425,0,0,0
1080000,83.5,3.5,5.0,0,4,31.2383573,34.7728766,12934.131736526946,1,0,0
1565000,125.0,4.0,1.0,0,4,31.2876128,34.7995267,12520.0,1,0,0
1340000,80.0,3.0,5.0,0,4,18.7544594,100.624804,16750.0,1,0,0
1220000,100.0,5.0,2.0,0,4,31.25181,34.7913,12200.0,0,0,0
1220000,60.0,3.0,1.0,0,4,31.2687901,34.760265,20333.333333333332,1,1,0
2175000,150.0,5.0,1.0,0,4,31.2704781,34.7664535,14500.0,1,0,0
1800000,137.0,5.0,4.0,0,4,18.7544594,100.624804,13138.686131386861,1,0,0
1646000,108.0,4.0,11.0,0,4,18.7544594,100.624804,15240.74074074074,0,0,0
1810000,124.0,5.0,5.0,0,4,18.7544594,100.624804,14596.774193548386,1,0,0
1280000,80.0,3.0,14.0,0,4,18.7544594,100.624804,16000.0,1,0,0
550000,65.0,3.0,4.0,0,4,31.2614025,34.7801722,8461.538461538461,0,0,0
600000,40.4,3.0,1.0,0,4,31.2654772,34.792421,14851.485148514852,0,0,0
1050000,74.0,4.0,2.0,0,4,31.2658576,34.7844608,14189.18918918919,1,0,0
880000,66.0,3.0,3.0,0,4,31.2566585,34.7644017,13333.333333333334,0,0,0
1030000,82.9,4.0,3.0,0,4,31.2453762,34.7892975,12424.607961399275,0,0,0
1300000,80.0,3.0,12.0,0,4,18.7544594,100.624804,16250.0,1,0,0
825000,78.0,4.0,3.0,0,4,31.2640549,34.7970876,10576.923076923076,0,0,0
700000,40.5,2.0,0.0,1,4,31.2661013,34.7969593,17283.95061728395,0,0,0
595000,66.2,3.0,3.0,0,4,31.2552073,34.7738475,8987.915407854984,0,0,0
1195000,82.0,4.0,2.0,0,4,31.2361536,34.767473,14573.170731707318,1,0,0
1350000,83.6,4.0,1.0,0,4,31.236908,34.7725168,16148.325358851676,1,0,0
1333000,96.0,4.0,1.0,0,4,31.2758743,34.8046541,13885.416666666666,0,0,0
1950000,130.0,5.0,1.0,0,4,31.2997973,34.6108842,15000.0,1,0,0
780000,39.7,2.0,5.0,0,4,31.2640549,34.7970876,19647.35516372796,1,0,0
1240000,75.0,3.0,7.0,0,4,31.2356182,34.7856585,16533.333333333332,1,0,0
1570000,98.4,4.0,2.0,0,4,31.2876823,34.8056597,15955.284552845527,1,0,0
1350000,80.0,3.0,7.0,0,4,18.7544594,100.624804,16875.0,1,0,0
1535000,114.5,5.0,14.0,0,4,31.2482069,34.7981086,13406.113537117904,1,0,0
1600000,125.0,4.0,6.0,0,4,18.7544594,100.624804,12800.0,1,0,0
680000,35.6,3.0,0.0,1,4,31.25181,34.7913,19101.123595505618,0,0,0
780000,46.5,3.0,4.0,0,4,31.25181,34.7913,16774.1935483871,0,0,0
1061000,79.8,4.0,1.0,0,4,31.2586817,34.7688524,13295.739348370927,1,0,0
840000,82.0,4.0,2.0,0,4,31.2642823,34.7840451,10243.90243902439,0,0,0
