price,square_meters,rooms,floor,is_ground,latitude,longitude,date,price_per_sqm,is_kottage,has_yard,safe_room,elevator,parking,bars,air_conditioner,accessible,furniture,new_building
1890000.0,177.0,4.0,5.0,0.0,31.2552493114754,34.8029846721311,0.0,10677.966101694916,0.0,0.0,1,1,1,0,1,1,1,1
1030000.0,90.0,3.0,1.0,0.0,31.236598,34.7666829,0.0,11444.444444444445,0.0,0.0,1,1,1,0,1,0,0,1
990000.0,76.0,3.0,1.0,0.0,31.246539,34.774268,0.0,13026.315789473685,0.0,0.0,0,1,0,1,1,1,1,1
1350000.0,94.0,3.0,4.0,0.0,31.229673,34.825456,0.0,14361.702127659575,0.0,0.0,1,0,1,0,1,0,0,1
860000.0,50.0,3.0,1.0,0.0,31.262885,34.79268,0.0,17200.0,0.0,0.0,0,0,0,0,1,0,1,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0,0
2350000.0,245.0,6.0,7.0,0.0,31.229209,34.82268,0.0,9591.836734693878,0.0,0.0,1,1,1,0,1,1,0,1
1790000.0,144.0,5.0,2.0,0.0,31.281642,34.806041,0.0,12430.555555555555,0.0,0.0,1,1,1,1,1,1,0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0,0
0.0,127.0,4.0,3.0,0.0,31.28298,34.798363,0.0,0.0,0.0,0.0,1,1,1,0,1,0,1,1
780000.0,77.0,4.0,4.0,0.0,31.257459,34.774263,0.0,10129.87012987013,0.0,0.0,0,0,0,1,1,0,1,0
3520000.0,1000.0,0.0,1.0,0.0,31.231766,34.79053,0.0,3520.0,1.0,0.0,0,0,0,0,1,1,0,0
1740000.0,113.0,4.0,0.0,1.0,31.247623,34.787739,0.0,15398.230088495575,1.0,0.0,0,0,0,1,1,0,0,0
2100000.0,170.0,4.0,2.0,0.0,31.251659,34.794984,0.0,12352.941176470587,0.0,0.0,1,1,0,0,1,1,0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0,0
1300000.0,109.0,4.0,1.0,0.0,31.265815,34.762606,0.0,11926.605504587156,0.0,0.0,1,1,1,0,1,0,0,1
995000.0,96.0,6.0,3.0,0.0,31.270365,34.790986,0.0,10364.583333333334,0.0,0.0,0,0,1,1,1,0,1,0
1449000.0,120.0,5.0,3.0,0.0,31.253217,34.795765,0.0,12075.0,0.0,0.0,0,1,1,1,1,0,1,1
1990000.0,280.0,0.0,2.0,0.0,31.277261,34.818393,0.0,7107.142857142857,1.0,0.0,1,0,1,1,1,1,1,1
1250000.0,80.0,4.0,0.0,1.0,31.244991,34.8007,0.0,15625.0,0.0,0.0,0,0,1,1,1,1,1,0
1300000.0,70.0,4.0,1.0,0.0,31.251973,34.791887,0.0,18571.428571428572,0.0,0.0,0,0,1,0,1,0,1,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0,0
1270000.0,115.0,4.0,9.0,0.0,0.0,0.0,0.0,11043.478260869566,0.0,0.0,1,1,1,0,1,0,0,1
1450000.0,90.0,3.0,8.0,0.0,31.253419,34.796518,0.0,16111.111111111111,0.0,0.0,1,1,1,1,1,1,1,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0,0
1280000.0,98.0,3.0,2.0,0.0,31.2409898,34.8102776,0.0,13061.224489795919,0.0,0.0,1,1,1,0,1,0,0,1
750000.0,90.0,4.0,1.0,0.0,31.26686155,34.79381465,0.0,8333.333333333334,0.0,0.0,0,0,0,1,1,0,1,0
1590000.0,110.0,4.0,0.0,1.0,31.2817223888889,34.7980748611111,0.0,14454.545454545454,0.0,1.0,1,1,1,1,1,1,0,1
860000.0,100.0,4.0,2.0,0.0,31.2565997142857,34.7613934285714,0.0,8600.0,0.0,0.0,0,1,1,0,0,1,0,1
430000.0,36.0,0.0,7.0,0.0,31.2509890689655,34.8029202413793,0.0,11944.444444444445,0.0,0.0,1,1,1,0,1,1,0,1
760000.0,78.0,4.0,4.0,0.0,31.2642388636364,34.7814689090909,0.0,9743.589743589744,0.0,0.0,0,0,0,1,1,0,1,0
2495000.0,203.0,5.0,27.0,0.0,31.249978,34.7745,0.0,12290.64039408867,0.0,0.0,1,1,1,0,1,1,0,1
785000.0,75.0,3.0,2.0,0.0,31.245302,34.772003,0.0,10466.666666666666,0.0,0.0,0,0,1,0,1,0,1,0
1550000.0,170.0,4.0,0.0,1.0,31.2772532777778,34.7982868888889,0.0,9117.64705882353,0.0,1.0,1,1,1,0,1,1,0,1
1390000.0,122.0,4.0,2.0,0.0,31.2872804137931,34.8060372068966,0.0,11393.442622950819,0.0,0.0,1,1,1,0,1,0,0,1
1150000.0,100.0,4.0,0.0,1.0,31.2535760655738,34.8074174754098,0.0,11500.0,0.0,0.0,0,0,0,0,1,1,1,0
